obsid,species,duration,attempts,Rinter,Rintra,Iinter,Iintra,Successes,rsa,roa,isa,ioa,Failures
001023Tin,Phleg,04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,1
001023Tina,Phleg,04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,1
001026Izua,M. fort,03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001026Izua,M. fort,03:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001026Smaa,Phleg,04:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,3
001102Izua,G. sal,03:04:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001102Tita,D. mer,04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001104Riv,M. fort,02:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001108Izu,Rheg,03:50:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001108Tita,Rheg,04:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
001110Cada,D. mer,04:00:00,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,1
001114Lab,Rheg,04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
001117Izu,G. sal,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001118Tin,G. sal,04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,1
001124Izu,G. sal,02:50:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001125Lab,Phleg,03:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001125Lab,Phleg,03:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,3
001125Lab,Phleg,03:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
001125Lab,Phleg,04:00:00,4,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,3
001125Lab,D. mer,03:45:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,1
001127Edwa,Rheg,01:20:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001127Edwa,Rheg,04:00:00,2,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,1
001128Edw,G. sal,01:20:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001128Edw,G. sal,03:50:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001128Edw,Phleg,01:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001128Edw,G. sal,01:55:00,3,2,0,0,0,1,TRUE,FALSE,FALSE,FALSE,2
001128Edw,Rheg,04:00:00,6,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,1
001128Edwa,Rheg,01:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001128Lab,M. fort,01:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001128Lab,M. fort,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001128Lab,G. sal,04:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001128Lab,M. fort,02:00:00,3,0,1,0,0,3,FALSE,TRUE,FALSE,FALSE,0
001129Lab,G. sal,03:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
001129Lab,G. sal,04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001129Lab,Rheg,03:20:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
001129Lab,G. sal,04:00:00,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,2
001130Edw,Phleg,04:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001130Tit,D. mer,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001201Izu,G. sal,01:20:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001201Izu,G. sal,04:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
001201Izu,Phleg,03:30:00,2,0,1,0,0,2,FALSE,TRUE,FALSE,FALSE,0
001201Izu,G. sal,03:30:00,7,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,2
001201Lab,D. mer,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001201Lab,M. fort,01:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001201Lab,M. fort,02:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001201Lab,Rheg,02:05:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001201Tin,Phleg,02:30:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001201Tin,Phleg,04:00:00,4,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,3
001202Gna,G. sal,01:45:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001202Gna,G. sal,02:30:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001202Tin,Phleg,03:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001204Edw,Rheg,01:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001204Edw,G. sal,01:44:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001204Edw,Rheg,02:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001204Edw,Phleg,02:56:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001204Edw,G. sal,01:22:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001204Edw,Rheg,03:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
001204Edw,Phleg,03:40:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,2
001208Edw,Rheg,03:10:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
001208Edw,Rheg,01:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001208Edw,G. sal,03:20:00,6,0,2,0,0,4,FALSE,TRUE,FALSE,FALSE,2
001209Gna,D. mer,03:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001209Nod,G. sal,03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001209Nod,G. sal,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001209Nod,Phleg,02:40:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001213Edw,Rheg,03:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
001215Lab,Rheg,04:00:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,0
001215Stu,M. fort,01:30:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001216Lab,Phleg,01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001216Lab,Phleg,02:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001216Lab,Rheg,04:00:00,5,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,3
001216Tin,D. mer,01:20:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001219Gna,G. sal,04:00:00,0,3,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0
001219Izu,Rheg,04:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
001222Edw,Phleg,01:55:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001222Izu,G. sal,01:30:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
001222Izu,Phleg,03:20:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001223Gna,M. fort,04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
001226Izu,D. mer,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001226Izu,G. sal,02:35:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,0
001226Lab,G. sal,04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,1
001226Lab,G. sal,04:00:00,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,2
001226Tit,Phleg,04:00:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,2
001226Tit,G. sal,01:40:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,0
001228Edw,Phleg,01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001228Edw,Phleg,01:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001228Edw,D. mer,03:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001228Edw,Phleg,02:22:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001228Izu,G. sal,02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001228Izu,G. sal,02:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,3
001228Izu,G. sal,05:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
001228Tit,D. mer,04:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001228Tit,Phleg,02:15:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,0
001228Tit,D. mer,04:00:00,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,2
001230Edw,Phleg,01:20:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
001230Edw,Phleg,01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001230Edw,Phleg,01:30:00,2,0,0,0,1,2,FALSE,FALSE,FALSE,TRUE,0
001230Edw,Phleg,08:20:00,6,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,3
001230Tit,Rheg,01:47:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001230Tit,Rheg,01:15:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
010102Izu,G. sal,01:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010102Izu,Rheg,02:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,3
010102Izu,M. fort,03:00:00,6,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,4
010102Let,G. sal,02:45:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010102Let,G. sal,03:40:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
010103Edw,Phleg,01:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010103Edw,Phleg,01:45:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010103Edw,M. fort,02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010103Edw,Phleg,02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010103Edw,Phleg,02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010103Edw,Phleg,02:56:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010103Edw,Phleg,06:30:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,3
010103Edw,Phleg,02:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010103Edw,Phleg,03:22:00,4,0,0,0,1,4,FALSE,FALSE,FALSE,TRUE,0
010103Izu,G. sal,03:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
010103Izu,G. sal,04:00:00,2,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,1
010103Let,Phleg,01:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010103Let,Phleg,02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010103Let,G. sal,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010103Let,Phleg,00:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
010103Let,D. mer,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010104Edw,Phleg,02:20:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010104Edw,Phleg,02:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010104Edw,Phleg,01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010104Edw,Phleg,02:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010104Edw,Phleg,03:05:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
010104Gna,G. sal,01:20:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010104Izu,M. fort,01:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010104Lab,Rheg,01:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010104Lab,Rheg,05:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010104Lab,Rheg,06:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010104Lab,Rheg,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010104Nod,D. mer,01:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010104Nod,D. mer,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010104Tit,D. mer,03:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
010106Edw,D. mer,01:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010106Edw,Phleg,02:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010106Edw,Phleg,02:15:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010106Edw,Rheg,01:45:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
010106Let,Phleg,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010108Gna,D. mer,01:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010108Gna,D. mer,04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
010108Lab,Rheg,02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010108Lab,Rheg,01:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
010108Lab,Rheg,01:40:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
010108Let,D. mer,02:50:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010108Let,Phleg,03:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010109Edw,D. mer,01:40:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010109Edw,D. mer,02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010109Edw,D. mer,01:00:00,0,0,1,0,1,0,FALSE,TRUE,FALSE,TRUE,0
010109Edw,D. mer,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010109Edw,Phleg,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010109Edw,Phleg,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010109Edw,Phleg,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010109Edw,D. mer,04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010109Edw,D. mer,01:50:00,2,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,1
010109Edw,Phleg,03:20:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
010109Edw,D. mer,01:30:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,1
010109Edw,Phleg,03:30:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,1
010109Izu,Rheg,01:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010109Lab,D. mer,01:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010109Let,Phleg,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010109Let,G. sal,02:10:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
010110Edw,Rheg,01:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010110Lab,G. sal,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010110Lab,M. fort,03:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
010111Edw,G. sal,01:15:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
010111Edw,D. mer,02:30:00,1,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,1
010111Edw,Phleg,04:40:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
010111Lab,M. fort,03:30:00,5,0,0,1,0,3,FALSE,FALSE,TRUE,FALSE,2
010111Let,D. mer,04:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
010112Edw,D. mer,01:45:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010112Edw,G. sal,02:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010112Lab,G. sal,02:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
010112Lab,Rheg,02:30:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
010112Lab,G. sal,03:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010112Lab,G. sal,02:50:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,2
010112Lab,Rheg,04:30:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,2
010113Let,D. mer,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010115Izu,Rheg,02:20:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
010115Lab,Phleg,03:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010115Lab,Phleg,03:15:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
010115Lab,M. fort,04:00:00,2,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,1
010115Lab,Phleg,04:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
010115Lab,Phleg,01:30:00,4,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,0
010115Lab,Phleg,03:15:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,1
010115Tit,G. sal,01:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010115Tit,D. mer,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010115Tit,D. mer,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010115Tit,G. sal,04:00:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,0
010117Lab,Rheg,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010117Lab,Rheg,04:00:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,1
010117Lab,Rheg,03:50:00,8,0,0,0,0,7,FALSE,FALSE,FALSE,FALSE,1
010117Stu,Phleg,02:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010117Stu,M. fort,03:00:00,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,2
010117Tit,D. mer,02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010117Tit,G. sal,03:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010117Tit,Phleg,02:40:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,0
010118Lab,D. mer,02:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
010118Tit,Phleg,02:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010118Tit,D. mer,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010118Tit,G. sal,01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010118Tit,Phleg,01:41:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010118Tit,Phleg,01:20:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
010118Tit,D. mer,04:00:00,7,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,3
010119Lab,D. mer,01:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010119Lab,D. mer,01:50:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010119Lab,D. mer,04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
010119Lab,D. mer,02:20:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010119Lab,D. mer,02:40:00,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,0
010119Lab,M. fort,01:30:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
010119Lab,D. mer,01:40:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
010119Lab,D. mer,03:20:00,5,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,3
010122Tit,G. sal,02:10:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010123Lab,M. fort,01:20:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010123Lab,M. fort,01:50:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010123Lab,Phleg,03:40:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
010123Lab,Phleg,01:10:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010123Lab,G. sal,02:20:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010123Lab,Phleg,01:40:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010123Lab,Rheg,02:00:00,1,0,2,0,0,1,FALSE,TRUE,FALSE,FALSE,0
010123Lab,M. fort,02:50:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
010123Lab,Phleg,04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,1
010123Lab,Phleg,03:40:00,3,0,0,1,0,3,FALSE,FALSE,TRUE,FALSE,0
010123Tit,M. fort,01:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010123Tit,Rheg,03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010123Tit,D. mer,04:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
010123Tit,D. mer,05:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,3
010123Tit,Rheg,01:28:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010123Tit,D. mer,02:15:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
010124Izu,Phleg,01:50:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010124Izu,D. mer,02:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010124Izu,Phleg,03:30:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010124Izu,D. mer,04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
010124Tit,M. fort,01:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010124Tit,G. sal,01:20:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010124Tit,Rheg,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010124Tit,D. mer,01:05:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010124Tit,D. mer,03:50:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
010124Tit,M. fort,01:30:00,4,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,0
010125Lab,Phleg,03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010125Lab,Phleg,05:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010125Lab,Phleg,05:00:00,8,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,6
010125Tit,G. sal,04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
010125Tit,Rheg,02:35:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
010125Tit,G. sal,02:10:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010125Tit,Phleg,02:10:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010125Tit,G. sal,02:40:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010125Tit,Rheg,04:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010125Tit,G. sal,02:10:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,0
010126Izu,Phleg,02:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010126Izu,D. mer,03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
010126Izu,D. mer,01:10:00,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,0
010126Izu,D. mer,04:00:00,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,0
010126Izu,D. mer,02:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
010126Izu,D. mer,04:00:00,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,0
010126Izu,D. mer,04:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
